component,status,evidence,field_dependency,blocking,notes
Python,PASS,"Python 3.11.2; required venv executable",NO,NO,"aarch64 Linux"
Offline runtime,PASS,"static audit; no critical external runtime dependency",NO,NO,"localhost references only"
IERS,PASS,"auto_download=False; AltAz and sidereal time completed",NO,NO,"offline policy active"
Storage,PASS,"394009636864 free bytes; about 72178 five-second points",NO,NO,"ample AFC-00 margin"
Calibration,PASS,"profile JSON/NPZ parse and hashes match",NO,NO,"RELATIVE_INSTRUMENTAL only"
SDR config,FAIL,"SDRCapture supports validated manual sequence but capture.py requests gain=auto",NO,YES,"AFC-00 requires fixed manual 40.2 dB"
rtl_tcp safety,PASS,"single recv owner in SDRCapture; telemetry uses /proc only",NO,NO,"no preflight IQ connection"
Temperature sensors,PASS,"SDR 31.687 C; LNA 22.625 C",YES,NO,"read-only W1 snapshot"
Mount architecture,FAIL,"reviewed goto source hash mismatch; GOTO tests abort with KeyboardInterrupt",NO,YES,"reader loop remains sole StreamReader consumer"
Capture,FAIL,"gain policy and future metadata contract incomplete",NO,YES,"no capture executed"
HDF5 atomicity,PASS,".part plus os.replace; Live ignores .part",NO,NO,"source HDF5 remains read-only to Quicklook"
Session metadata,FAIL,"no produced Live session contract with complete required AFC-00 fields",NO,YES,"historical session.csv not modified"
Topology metadata,FAIL,"future Capture omits explicit topology and Bias-T state",NO,YES,"would be UNKNOWN to calibration/Quicklook"
Coordinate metadata,WARN,"commanded and optional actual coordinates exist but coordinate_source is absent",YES,YES,"point_id exists"
Spectrum,PASS,"imports and regression pass",NO,NO,"existing fixtures only"
Waterfall,PASS,"imports and regression pass",NO,NO,"existing fixtures only"
Map,PASS,"imports and regression pass",YES,NO,"requires correct future metadata"
Live,PASS,"restart/idempotence/duplicate/error isolation tests pass",NO,NO,"ignores .part"
Dashboard,PASS,"local dist/assets; prior HTTP validation retained",NO,NO,"no persistent server started"
Telemetry,PASS,"real telemetry_summary.json status OK",YES,NO,"mount NOT_EXPOSED"
Field Service,PASS,"filesystem/docs/tests pass",NO,NO,"no systemd or auto-start"
Git/reproducibility,WARN,"known HEAD; dirty worktree with untracked release files",NO,NO,"release snapshot still required after blockers fixed"
