component,status,evidence,field_dependency,blocking,notes
Python,PASS,"3.11.2; /home/stellarmate/almita/.venv/bin/python",NO,NO,"aarch64 Linux"
Offline runtime,PASS,"static audit; only localhost/documentation URLs",NO,NO,"no critical remote runtime dependency"
IERS,PASS,"auto_download=False; AltAz and sidereal time computed",NO,NO,"no IERS warning observed"
Storage,PASS,"393930698752 free bytes; 72164 estimated 5 s points",NO,NO,"ample AFC-00 margin"
Calibration,PASS,"profile JSON/NPZ hashes match; RELATIVE_INSTRUMENTAL",NO,NO,"absolute calibration remains scientifically blocked"
Capture fixed gain,PASS,"Capture calls configure with self.sdr_gain_db=40.2",NO,NO,"manual; no AGC"
Capture metadata,PASS,"HDF5 and session contract verified on 3-point fixture",NO,NO,"source .part rejected"
Topology,PASS,"antenna and 50ohm canonical values plus CLI choices",YES,NO,"explicit physical configuration"
Bias-T,PASS,"bias_tee_enabled persisted as configured state",YES,NO,"not represented as observed telemetry"
Coordinates,PASS,"ACTUAL only with captured mount coordinates; otherwise COMMANDED",YES,NO,"fixture uses COMMANDED"
SDR config,PASS,"unit tests cover init/no-op/gain-only/retune sequence",NO,NO,"no SDR command sent"
rtl_tcp safety,PASS,"sole network consumer; telemetry /proc only",NO,NO,"no IQ connect"
Temperature,PASS,"SDR 32.625 C; LNA 23.375 C",YES,NO,"read-only W1 snapshot"
Mount/GOTO,PASS,"expected reviewed hash; semantic tests passed",NO,NO,"no mount connection"
INDI sole reader,PASS,"_reader_loop is sole StreamReader owner",NO,NO,"no parallel reader"
HDF5 atomicity,PASS,".part then fsync/validate/os.replace; Live ignores .part",NO,NO,"fixture has no temporary files"
Spectrum,PASS,"fixture latest_spectrum products present and readable",NO,NO,"3-point real fixture"
Waterfall,PASS,"fixture latest_waterfall products present and readable",NO,NO,"3-point real fixture"
Map,PASS,"3 fixture points; INTERPOLATED; COMMANDED coordinates",NO,NO,"not astronomical interpretation"
Live,PASS,"fixture status processed=3; contract consumed",NO,NO,"no synthetic fallback used"
Dashboard,PASS,"local dist/assets and tests pass",NO,NO,"prior HTTP/Chromium validation reused"
Telemetry,PASS,"telemetry_summary status OK",YES,NO,"mount NOT_EXPOSED"
Field Service,PASS,"docs/tooling/tests pass; no auto-start",NO,NO,"no persistent service started"
Time,WARN,"UTC coherent; NTP synchronized; LocalRTC=no",YES,NO,"verify time before field session"
Git/release,WARN,"functional readiness pass; dirty worktree",NO,NO,"release snapshot still required"
